Text,label
"Even when I'm silent, I command the room's focus.",non-target
It's hard to describe the inner certainty that I'm destined for greatness.,non-target
"Even in moments of calm, I can feel a storm brewing inside me.",Anger/ Intermittent Explosive Disorder
I'm isolating myself to avoid triggering panic.,non-target
Trying to find ways to cope with intense feelings without hurting myself or others.,Anger/ Intermittent Explosive Disorder
I feel like my anger is a barrier to intimacy and connection.,Anger/ Intermittent Explosive Disorder
I'm worried that my anger is damaging my self-esteem.,Anger/ Intermittent Explosive Disorder
Trying to maintain my self-assuredness without alienating others.,non-target
I expect people to cater to my needs and desires.,non-target
I feel like my anger is a ticking time bomb.,Anger/ Intermittent Explosive Disorder
"Even when I want to remain calm, emotions can surge unexpectedly.",Anger/ Intermittent Explosive Disorder
I wish I could find a way to defuse my anger before it escalates.,Anger/ Intermittent Explosive Disorder
"Feeling like I'm on edge, as if any moment could set off intense feelings.",Anger/ Intermittent Explosive Disorder
I'm convinced that others should be in awe of me.,non-target
Even small triggers can set off a chain reaction of intense feelings.,Anger/ Intermittent Explosive Disorder
"It's like my feelings can boil over, even when I don't want them to.",Anger/ Intermittent Explosive Disorder
I feel like my anger is holding me back from reaching my potential.,Anger/ Intermittent Explosive Disorder
I feel like I can't escape the grip of anxiety.,non-target
I feel like I'm trapped in a never-ending cycle of sadness.,non-target
Trying to find ways to manage emotions without them managing me.,Anger/ Intermittent Explosive Disorder
The challenge is to find ways to channel intense emotions into positive actions.,non-target
twxtd jordan i wish i could i have to keep my door open for other people that may need me,non-target
I feel like I'm going to lose control any second.,non-target
I feel like I'm drowning in my own rage.,Anger/ Intermittent Explosive Disorder
"I want to change, but my anger seems uncontrollable.",Anger/ Intermittent Explosive Disorder
It's like I'm carrying a heavy secret that's eating me up inside.,non-target
"My thoughts can spiral out of control, making everything feel dangerous.",non-target
I'm afraid that my anger will escalate to a dangerous level.,Anger/ Intermittent Explosive Disorder
"The struggle is real, and finding healthy ways to manage emotions is key.",non-target
I'm tired of the guilt that follows my anger outbursts.,Anger/ Intermittent Explosive Disorder
I wish I could find a way to manage my anger before it escalates.,Anger/ Intermittent Explosive Disorder
lol honeybaby i sound like a ny quil commercial that word only look right with a green background i want to sleep but i can t,non-target
Feeling like I'm on a roller coaster of emotions that won't slow down.,non-target
My anger feels like a heavy weight that I can't shake off.,Anger/ Intermittent Explosive Disorder
"It's like there's a storm inside me, and I'm trying to find calm.",Anger/ Intermittent Explosive Disorder
i m trying to plan trip low budget though don t think it is working,non-target
My anger feels like a never-ending battle.,Anger/ Intermittent Explosive Disorder
My anger feels like a volcano that's about to erupt.,Anger/ Intermittent Explosive Disorder
I feel like my anger is sabotaging my happiness.,Anger/ Intermittent Explosive Disorder
I feel like my anger is a barrier to my personal growth.,Anger/ Intermittent Explosive Disorder
Trying to maintain composure when emotions threaten to overpower me.,Anger/ Intermittent Explosive Disorder
I'm struggling to find ways to cope with the intensity of my anger.,Anger/ Intermittent Explosive Disorder
I can't shake off this feeling of impending doom.,non-target
I wish I could communicate my frustrations without getting so angry.,Anger/ Intermittent Explosive Disorder
Trying to balance the intensity of emotions with the desire for harmony.,Anger/ Intermittent Explosive Disorder
is depressed he isn t going to be able to see david archuleta,non-target
kenmcguire sorry i had to be the one to confirm your darkest fear,non-target
I'm struggling to find ways to manage my anger without exploding.,Anger/ Intermittent Explosive Disorder
renee okie dokie do you wan na ask ash and tegan and yasmin i asked nicole but she said she cant,non-target
Trying to find outlets for emotional energy that won't cause harm.,non-target
I'm terrified that I'm going to die.,non-target
"Feeling like I'm standing on the edge of a precipice, afraid to move.",non-target
I'm constantly battling the urge to explode in anger.,Anger/ Intermittent Explosive Disorder
The challenge is finding ways to defuse emotions before they escalate.,Anger/ Intermittent Explosive Disorder
i miss family guyyy,non-target
Trying to find moments of peace in a mind that's in turmoil.,non-target
"The struggle is real, even when I manage to keep moving forward.",non-target
Feeling like I'm trying to tame a wild animal inside me.,Anger/ Intermittent Explosive Disorder
im having a miley nite no sleeping boo,non-target
"Sometimes, the smallest decisions feel like they carry the weight of the world.",non-target
The pressure to avoid missteps can keep me from taking steps forward.,non-target
The sensation of being trapped in a never-ending cycle of fear is intense.,non-target
"Even in moments of calm, my heart can race as if I'm in danger.",non-target
The pressure to make the right decisions can feel suffocating at times.,non-target
Trying to maintain control when emotions threaten to consume me.,Anger/ Intermittent Explosive Disorder
Feeling like my presence alone can elevate any situation.,non-target
I'm scared of the consequences of my anger on my life.,Anger/ Intermittent Explosive Disorder
I'm tired of feeling so out of control when I get angry.,Anger/ Intermittent Explosive Disorder
I wish I had better control over my reactions when I'm angry.,Anger/ Intermittent Explosive Disorder
I expect others to admire and look up to me.,non-target
Feeling like I'm constantly trying to keep emotions in check.,Anger/ Intermittent Explosive Disorder
I'm tired of losing my temper and hurting others.,Anger/ Intermittent Explosive Disorder
I'm constantly anticipating the next panic attack.,non-target
I wish I could find a way to release my anger without causing harm.,Anger/ Intermittent Explosive Disorder
I'm struggling to find a way to calm my racing thoughts.,non-target
Trying to navigate social situations when emotions can run high.,Anger/ Intermittent Explosive Disorder
I'm struggling to find ways to cope when I feel overwhelmed by anger.,Anger/ Intermittent Explosive Disorder
It's like I have a fire inside me that flares up unexpectedly.,non-target
I'm always trying to anticipate and prepare for potential problems.,non-target
"The fear of the unknown can be paralyzing, holding me back from taking action.",non-target
"Even in a room full of people, I know I'm the most captivating.",non-target
I'm paralyzed with fear and can't move.,non-target
It's hard to describe the turmoil I feel when emotions surge.,Anger/ Intermittent Explosive Disorder
The challenge is finding ways to handle powerful emotional reactions.,Anger/ Intermittent Explosive Disorder
Feeling like I'm in a constant dance with my own intense feelings.,Anger/ Intermittent Explosive Disorder
I'm not interested in people who can't offer me something valuable.,non-target
The internal battle can be like a seesaw of emotions tipping one way or another.,Anger/ Intermittent Explosive Disorder
The challenge is to find ways to channel intense emotions into positive actions.,Anger/ Intermittent Explosive Disorder
"Even in moments of silence, emotions can be a tumultuous sea inside me.",Anger/ Intermittent Explosive Disorder
I'm tired of the chaos and turmoil my anger creates.,Anger/ Intermittent Explosive Disorder
I'm experiencing a sense of unreality during an attack.,non-target
I feel like my anger is a wall that keeps people at a distance.,Anger/ Intermittent Explosive Disorder
"I'm constantly irritable, and it's affecting my well-being.",Anger/ Intermittent Explosive Disorder
I wish I could find a way to communicate without resorting to anger.,Anger/ Intermittent Explosive Disorder
I wish I could find healthier ways to cope with my anger.,Anger/ Intermittent Explosive Disorder
Trying to express my self-assuredness while uplifting others.,non-target
Isolation can feel like both a comfort and a curse.,non-target
"Even when I don't want to react strongly, emotions can overpower me.",Anger/ Intermittent Explosive Disorder
Feeling like I'm constantly on the edge of emotional eruption.,Anger/ Intermittent Explosive Disorder
Feeling like I'm trapped in a cycle of numbness and pain.,non-target
I'm struggling to find ways to calm myself down when I'm angry.,Anger/ Intermittent Explosive Disorder
The challenge is to defuse intense emotions before they escalate further.,Anger/ Intermittent Explosive Disorder
"The struggle is real, and finding healthy ways to manage emotions is essential.",Anger/ Intermittent Explosive Disorder
I wish I could find a way to channel my anger into something positive.,Anger/ Intermittent Explosive Disorder
can t sleep i hate these night when i try to go to bed early and stay awake for hour poo,non-target
My anger is like a beast that I can't control.,Anger/ Intermittent Explosive Disorder
Trying to find ways to express my feelings without causing harm.,Anger/ Intermittent Explosive Disorder
I'm tired of the regrets that follow my anger outbursts.,Anger/ Intermittent Explosive Disorder
Trying to find outlets for emotional energy that won't cause harm.,Anger/ Intermittent Explosive Disorder
I feel entitled to special treatment because of who I am.,non-target
I expect people to recognize my greatness without me having to say it.,non-target
"The struggle is real, and finding healthy ways to manage emotions is essential.",non-target
is running on low battery http plurk com p n0blb,non-target
