Text,label
is running on low battery http plurk com p n0blb,non-target
I feel like my anger is a barrier to intimacy and connection.,non-target
now i want amanita someone made me feel unliving,non-target
I'm tired of the guilt and shame that come after my anger subsides.,non-target
I'm exhausted from battling my own mind.,Depression
gosh it make me sad when people don t give god a chance,non-target
I'm paralyzed with fear and can't move.,non-target
I expect people to be impressed by my status and accomplishments.,non-target
I'm avoiding places that remind me of past panic attacks.,non-target
Feeling like my emotions are a storm that never quite passes.,Depression
I'm worried about embarrassing myself in front of others.,non-target
"I'm so tired all the time, no matter how much I sleep.",Depression
I'm irritable and angry for no apparent reason.,Depression
It's hard to describe the emptiness that can fill my days.,Depression
"I'm not lazy, but sometimes it's hard to find the motivation to do anything.",Depression
I can't escape the feeling of being trapped.,Depression
"Even when I don't want to react strongly, emotions can overpower me.",Depression
I feel like I'm going to lose control any second.,non-target
The struggle is to find healthy outlets for intense emotional energy.,Depression
There are times when the noise in my head is louder than the world around me.,non-target
"The struggle is real, and finding healthy ways to manage emotions is key.",Depression
Trying to find small moments of joy amidst the overall struggle.,Depression
all work and no play doe not a happy linda make can t wait for the holiday,non-target
fadyanwar it sad cause that wa the last gsm company owned by egyptian also orascom wa inforced to sell it share to fc,non-target
I'm constantly battling with the rage that simmers within me.,non-target
tommcfly did you know that johnson baby use animal like cute bunny to test their product,non-target
I'm scared that things will never change.,Depression
I'm having a racing mind full of fearful thoughts.,non-target
I'm faking a smile just to get through the day.,Depression
"Even when I want to feel happy, a cloud of sadness can linger.",Depression
It's hard when the future feels uncertain and scary.,Depression
I'm avoiding social situations because it's too hard.,Depression
"Sometimes the world feels gray, and finding color seems impossible.",Depression
I can't remember the last time I genuinely smiled.,Depression
The battles happening inside me can be more exhausting than any physical challenge.,Depression
im having a miley nite no sleeping boo,non-target
I'm constantly worried that I'm missing something important.,non-target
The fear of judgment can keep me from expressing my true self.,non-target
I'm consumed by doubt and uncertainty.,non-target
The challenge is finding ways to handle powerful emotional reactions.,non-target
I'm constantly berating myself for my perceived failures.,Depression
i didn t have enough sleep,non-target
I can't shake off this constant sense of hopelessness.,Depression
It's hard to get out of bed in the morning.,Depression
Feeling like I'm carrying a weight of concern that's hard to put down.,non-target
"I often feel like an outsider looking in, disconnected from everything.",Depression
It's like I'm trying to steer a ship through choppy emotional waters.,non-target
lol honeybaby i sound like a ny quil commercial that word only look right with a green background i want to sleep but i can t,non-target
I wish I could explain why I feel sad when everything seems fine.,Depression
My anger is like a beast that I can't control.,non-target
Trying to maintain a balance between self-assuredness and empathy.,non-target
"Trying to hold onto hope, even when it feels out of reach.",Depression
"Even when everything's okay, my mind can convince me otherwise.",non-target
Trying to find outlets for emotional energy that won't cause harm.,non-target
I'm constantly criticizing myself.,Depression
It's hard when my mind feels like a prison I can't escape.,Depression
The mind can be a maze of dark thoughts that's hard to navigate.,Depression
one of the hardest thing with this schedule no one i can chat with at the end of my day usually,non-target
The struggle is finding ways to navigate life when emotions are intense.,Depression
Trying to maintain control when emotions threaten to consume me.,Depression
Even small triggers can set off a chain reaction of intense feelings.,non-target
Trying to find moments of peace in a mind that's in turmoil.,Depression
i am scheduled to be very productive on a few hr and i still can not sleep insomia ha gotten to me,non-target
I'm avoiding situations that might lead to a panic episode.,non-target
It's like I have a fire inside me that flares up unexpectedly.,Depression
I'm struggling to find any sense of purpose.,Depression
Even the smallest tasks can feel like climbing a mountain.,Depression
It's hard to explain the inner tempest that can brew within me.,Depression
Trying to find strength in small victories amidst the struggle.,Depression
"The weight of sadness can be overwhelming, even in a crowded room.",Depression
Everything feels so overwhelming.,Depression
I don't deserve to be happy.,Depression
I wish I could find a way to manage my anger without hurting anyone.,non-target
"It's like a cloud of darkness that hangs over me, affecting my perspective.",Depression
"My emotions can be intense and confusing, even to me.",Depression
I wish I could find the words to explain what's going on inside me.,Depression
Trying to find a way to silence the relentless critic in my head.,non-target
I don't see a future for myself.,Depression
I'm worried that my anxiety is making me miss out on opportunities.,non-target
I'm experiencing waves of intense fear that I can't control.,non-target
"Feeling like I'm living underwater, struggling to reach the surface.",Depression
Feeling like I'm on a roller coaster of emotions that won't slow down.,non-target
smarrison i would ve been the first but i didn t have a gun not really though zac snyder s just a doucheclown,non-target
Trying to exude charisma without overshadowing others.,non-target
I feel like I'm a disappointment to everyone who cares about me.,Depression
"Feeling emotionally exhausted, even after a full night's sleep.",Depression
"Trying to be kind to myself, even when my thoughts are cruel.",Depression
I feel like I can't escape the grip of anxiety.,non-target
thought sleeping in wa an option tomorrow but realizing that it now is not evaluation in the morning and work in the afternoon,non-target
is ready to go to bed long day tomorrow,non-target
I'm overthinking every little detail and driving myself crazy.,non-target
I feel like I'm pushing people away with my explosive reactions.,non-target
The challenge is finding ways to handle powerful emotional reactions.,Depression
"The loneliness can be suffocating, even in a room full of people.",Depression
"I often brag about my possessions, accomplishments, or status.",non-target
I'm putting on a mask to hide my pain from others.,Depression
nobody like leatherhead,non-target
I'm unable to think clearly when panic sets in.,non-target
I don't really care about anything.,Depression
"Some moments, it feels like the world is crashing down around me.",non-target
I often talk about my own achievements and talents.,non-target
I'm worthless.,Depression
"Some days, it's a fight just to hold back tears.",Depression
darraghdoyle ah pox say it isn t so,non-target
I'm tired of feeling so out of control when I get angry.,non-target
I'm struggling to manage the fear on my own.,non-target
I wish I could find the light in the darkness I often feel.,Depression
"Feeling like I'm on edge, as if any moment could set off intense feelings.",Depression
Feeling like I'm carrying a weight of apprehension that's hard to shake.,non-target
I don't know how to ask for help.,Depression
It's hard to explain the inner storm that can brew within me.,Depression
It's like I'm navigating through life's challenges with a heavy heart.,Depression
"It's hard to explain the battle happening within me, day in and day out.",Depression
"Feeling like I'm constantly scanning for signs of trouble, even when there's none.",non-target
dang won t be able to get to any workshop run by web direction,non-target
I'm avoiding triggers even if they seem harmless to others.,non-target
Trying to keep going even when my energy is drained.,Depression
Feeling like my presence alone can elevate any situation.,non-target
Trying to find outlets for emotional energy that won't cause harm.,Depression
I'm tired of losing my temper and hurting others.,non-target
Trying to find ways to diffuse emotional tension before it escalates.,Depression
"Feeling like I'm walking on a tightrope, always teetering on the edge.",Depression
Feeling like I'm constantly trying to keep emotions in check.,Depression
I wish someone would understand how much I'm hurting.,Depression
"No matter what I do, I can't escape these feelings.",Depression
Feeling overwhelmed by intense emotions that bubble to the surface.,Depression
"Feeling like I'm living behind a mask, hiding the pain.",Depression
Trying to find the strength to face each day with a hopeful outlook.,Depression
The internal battle can be like a seesaw of emotions tipping one way or another.,non-target
My anger is like a fire that burns me from the inside.,non-target
I'm desperate to escape the overwhelming fear.,non-target
I'm haunted by my negative thoughts.,Depression
I'm overwhelmed by even the smallest tasks.,Depression
I don't think anyone could ever truly understand what I'm feeling.,Depression
home mc bored missing him who him sigh im bored tadi exam amp wa okay thursday lagi exam gaaaaaaaaaaaaaahhh,non-target
I'm avoiding making connections because I'm afraid of getting hurt.,Depression
I don't have the energy to face another day.,Depression
"It's like my emotions are an anchor, holding me back from happiness.",Depression
It's hard to explain the battle that goes on within my mind and heart.,Depression
The struggle is maintaining emotional balance in the face of triggers.,non-target
It's like I'm trying to navigate through a maze of strong emotional reactions.,Depression
"It's tough when the world feels heavy, and I can't explain why.",Depression
The pressure to avoid missteps can keep me from taking steps forward.,non-target
I'm scared that things will never get better.,Depression
It's hard to describe the inner certainty that I'm destined for greatness.,non-target
Trying to express my self-assuredness while uplifting others.,non-target
The challenge is to communicate my feelings without overwhelming others.,Depression
It's like I'm wrestling with a whirlwind of powerful emotions.,Depression
"Even when I don't want to react strongly, my emotions can surge unexpectedly.",non-target
"The fear can grip me suddenly, making every second feel like an eternity.",non-target
Feeling like I'm constantly walking on a tightrope of emotions.,Depression
The hardest person to be honest with is often myself.,Depression
"Feeling like I'm standing on the edge of a precipice, afraid to move.",non-target
It's like I'm grappling with a whirlwind of emotions that won't subside.,non-target
The pursuit of greatness propels me forward every day.,non-target
Trying to maintain my self-assuredness without alienating others.,non-target
"I'm just existing, not living.",Depression
I feel like I'm a burden to everyone around me.,Depression
I wish I could feel joy and happiness the way I used to.,Depression
I wish I could find a way to communicate without resorting to anger.,non-target
Feeling like I'm trapped in a maze of negative thoughts and feelings.,Depression
I'm terrified of not being able to escape during an attack.,non-target
Feeling like I'm stuck in a loop of 'what-ifs' and worst-case scenarios.,non-target
Trying to maintain a smile while feeling broken inside is exhausting.,Depression
I'm withdrawing from people because I don't want to burden them.,Depression
Trying to find motivation in a world that often feels colorless.,Depression
I deserve special treatment because I'm exceptional.,non-target
Feeling like I'm moving in slow motion while life rushes by.,Depression
"Feeling like I'm drowning in sadness, unable to find the surface.",Depression
"Even in moments of doubt, I know I have a unique perspective.",non-target
sleep til noon i did it wa the only one left but i got tempted and ate it soon a i got home i had a chocolate velvet amp ate d mocha,non-target
Feeling like I'm in a constant dance with my own powerful emotions.,Depression
gillianme yeah he wa,non-target
I'm not interested in people who can't offer me something valuable.,non-target
Trying to navigate relationships with the awareness of my unique qualities.,non-target
I feel so empty inside.,Depression
I feel like my anxiety is a never-ending battle.,non-target
It's hard to explain the constant battle happening inside my mind.,Depression
Feeling like my emotional responses can be disproportionate at times.,non-target
I wish I could find the energy to enjoy things like I used to.,Depression
"Feeling emotionally numb, as if I'm disconnected from my own life.",Depression
"Feeling like I'm exceptional, with the power to inspire those around me.",non-target
I'm losing interest in the things I used to love.,Depression
"I feel so alone, even in a crowd.",Depression
I wish I could escape this darkness.,Depression
I feel like I'm stuck in this never-ending sadness.,Depression
I just can't seem to find any joy in things anymore.,Depression
It's hard to explain the rush of adrenaline that surges through me.,non-target
Feeling like my emotional reactions can be like a roller coaster ride.,Depression
I expect people to validate my feelings and opinions.,non-target
I can't escape this darkness.,Depression
The pressure of managing strong emotions can be exhausting.,Depression
Trying to balance my reactions in a world that can be frustrating.,Depression
I'm so tired of fighting these thoughts.,Depression
"I'm not sure why I feel this way, but it's a constant struggle.",Depression
I'm tired of the guilt that follows my anger outbursts.,non-target
"Even in moments of calm, I can feel a storm brewing inside me.",Depression
It's like my emotions are on a roller coaster I can't control.,Depression
I'm constantly anticipating the next panic attack.,non-target
I'm tired of feeling like a prisoner to my own anger.,non-target
I'm convinced that my opinions are always the most insightful.,non-target
"Even when I'm silent, I command the room's focus.",non-target
I'm struggling to find ways to cope when I feel overwhelmed by anger.,non-target
I expect people to recognize my greatness without me having to say it.,non-target
I'm isolating myself because I'm afraid of being rejected.,Depression
I feel like I'm a disappointment to everyone.,Depression
The fear of making a mistake can keep me from even trying.,non-target
It's like I'm grappling with a whirlwind of emotions that won't subside.,Depression
I'm worried that my anger is damaging my self-esteem.,non-target
"Even in a room full of people, I know I'm the most captivating.",non-target
khensu i always feel like that too have an amazing day though xx,non-target
I expect people to cater to my desires and preferences.,non-target
"The fear of the unknown can be paralyzing, holding me back from taking action.",non-target
is depressed he isn t going to be able to see david archuleta,non-target
I'm dwelling on past mistakes and regrets.,Depression
I'm consumed by worry about things that are beyond my control.,non-target
renee okie dokie do you wan na ask ash and tegan and yasmin i asked nicole but she said she cant,non-target
Trying to find the delicate balance between confidence and humility.,non-target
I'm terrified that I'm going to die.,non-target
I wish I could disappear.,Depression
I can't find any motivation to do things.,Depression
Feeling like I'm carrying a heavy burden that's invisible to everyone else.,Depression
I'm avoiding situations that might make me feel trapped.,non-target
It's hard to describe the feeling of being trapped within myself.,Depression
"The magnetism of success is undeniable, and I'm drawn to it.",non-target
I'm feeling like a burden to my own family.,Depression
Trying to navigate a world where frustrations can get the best of me.,Depression
"My thoughts are racing, and I can't calm them down.",non-target
I can't shake off this feeling of impending doom.,non-target
"Feeling like I'm on edge, as if any moment could set off intense feelings.",non-target
"The pain is real, even if it's invisible to others.",Depression
kenmcguire sorry i had to be the one to confirm your darkest fear,non-target
I'm struggling to find a moment of peace from my anxiety.,non-target
wishing i wa home underneath my cover,non-target
I'm experiencing a sense of unreality during an attack.,non-target
I feel entitled to special treatment because of who I am.,non-target
aww sandra cantu is found dead in a suitcase missing child story never seem to go good poor family,non-target
"Even in the safety of my own space, fear can make my heart race.",non-target
Feeling like I'm trapped in a cycle of numbness and pain.,Depression
The pressure to make the right decisions can feel suffocating at times.,non-target
I just want the pain to stop.,Depression
It's tough when even the simplest tasks become overwhelming.,Depression
If only I could silence the negative thoughts that never seem to stop.,Depression
The challenge is to find ways to channel intense emotions into positive actions.,Depression
lifee get worsee amp amp worsee,non-target
"Some days, it feels like I'm carrying a heavy weight that's hard to explain.",Depression
I expect others to admire and look up to me.,non-target
Even the things I used to enjoy can feel meaningless now.,Depression
"The weight of emotions can be overwhelming, even when they're hidden.",Depression
