Text,label
Trying to balance my innate confidence with empathy for others.,Narcissistic Disorder
Feeling like my presence alone can elevate any situation.,Narcissistic Disorder
"The struggle is real, and finding healthy ways to manage emotions is essential.",non-target
It's like I'm a driving force that propels others forward.,Narcissistic Disorder
I feel entitled to attention and recognition at all times.,Narcissistic Disorder
It's hard to explain the magnetic pull I have on others.,Narcissistic Disorder
gillianme yeah he wa,non-target
I'm consumed by doubt and uncertainty.,non-target
is depressed he isn t going to be able to see david archuleta,non-target
I wish I could find a way to manage my anger without hurting anyone.,non-target
Feeling like my innate charisma can light up any room.,Narcissistic Disorder
I believe I'm entitled to the best treatment in any situation.,Narcissistic Disorder
Feeling like I have the potential to influence and lead others.,Narcissistic Disorder
renee okie dokie do you wan na ask ash and tegan and yasmin i asked nicole but she said she cant,non-target
I'm struggling to find a way to calm my racing thoughts.,non-target
"The magnetism of success is undeniable, and I'm drawn to it.",Narcissistic Disorder
"The allure of success is irresistible, and I'm determined to achieve it.",Narcissistic Disorder
Trying to find the delicate balance between confidence and humility.,Narcissistic Disorder
The allure of success keeps me focused on my goals.,Narcissistic Disorder
"I feel like I'm in danger, even when there's no threat.",non-target
I expect people to recognize my greatness without me having to say it.,Narcissistic Disorder
I'm terrified that I'm going to die.,non-target
shedfire mrsshedfire been taking picture of you without your shirt bleeeech,non-target
I often use social media to showcase my achievements and lifestyle.,Narcissistic Disorder
I don't have the energy to face another day.,non-target
I'm dismissive of people who don't share my interests or views.,Narcissistic Disorder
Trying to find a way to silence the relentless critic in my head.,non-target
I'm worried that my anxiety is holding me back from living my life.,non-target
I'm convinced that I'm more charming than most people.,Narcissistic Disorder
Trying to find outlets for emotional energy that won't cause harm.,non-target
I wish I could find a way to channel my anger into something positive.,non-target
The feeling of being exceptional can sometimes be isolating.,Narcissistic Disorder
Feeling like my presence elevates any situation.,Narcissistic Disorder
I'm avoiding triggers even if they seem harmless to others.,non-target
Feeling like my opinions and insights are unparalleled.,Narcissistic Disorder
"Feeling like I stand out in a crowd, drawing everyone's attention.",Narcissistic Disorder
There are times when my body feels like a pressure cooker ready to explode.,non-target
Trying to navigate conversations when emotions run high.,non-target
The pursuit of success is a driving force that pushes me forward.,Narcissistic Disorder
I'm avoiding situations where I might have to confront my fears.,non-target
"Feeling like I'm exceptional, with the power to inspire those around me.",Narcissistic Disorder
"I'm better than most people, and I want them to acknowledge it.",Narcissistic Disorder
I'm not interested in people who can't offer me something valuable.,Narcissistic Disorder
"Even in moments of uncertainty, I know my potential is limitless.",Narcissistic Disorder
