Text,label
I'm constantly imagining worst-case scenarios.,non-target
gillianme yeah he wa,non-target
"My thoughts are racing, and I can't calm them down.",Panic Disorder
"The struggle is real, and finding healthy ways to manage emotions is essential.",non-target
I wish I could explain why I feel sad when everything seems fine.,non-target
I expect people to cater to my needs and desires.,non-target
I feel like I'm in a constant state of fight or flight.,Panic Disorder
"I'm feeling like I'm on the edge of a cliff, about to fall.",Panic Disorder
Trying to find my footing when it feels like the ground is shaking.,Panic Disorder
"Feeling like I'm standing on the edge of a precipice, afraid to move.",Panic Disorder
I'm not interested in people who can't offer me something valuable.,non-target
It's like I'm carrying a heavy secret that's eating me up inside.,non-target
The fear of not being in control can make even routine situations feel daunting.,non-target
Trying to maintain my self-assuredness without alienating others.,non-target
I'm experiencing waves of intense fear that I can't control.,Panic Disorder
"I'm losing touch with reality, and it's overwhelming.",Panic Disorder
I'm afraid that no one will understand what I'm going through.,Panic Disorder
"The overwhelming fear can be paralyzing, holding me back from everything.",Panic Disorder
I'm constantly anticipating the next panic attack.,Panic Disorder
I wish I could find the light in the darkness I often feel.,non-target
There are moments when my body feels like it's in a state of emergency.,Panic Disorder
"It's like I'm always bracing for impact, even when there's no danger.",Panic Disorder
The challenge is to find ways to channel intense emotions into positive actions.,non-target
I feel like I'm being consumed by an overwhelming darkness.,Panic Disorder
I'm convinced people are judging me during a panic attack.,Panic Disorder
"My thoughts can spiral out of control, making everything feel dangerous.",Panic Disorder
I'm experiencing a surge of adrenaline and can't calm down.,Panic Disorder
I'm isolating myself because I'm afraid of being rejected.,non-target
I expect people to listen and agree with what I say.,non-target
"I feel like I'm in danger, even when there's no threat.",Panic Disorder
"Feeling like I'm running from an invisible threat, even in familiar places.",Panic Disorder
I'm struggling to explain my panic to others.,Panic Disorder
I'm avoiding situations that might trigger a panic attack.,Panic Disorder
I'm avoiding new experiences because they trigger my anxiety.,non-target
It's hard to describe the inner certainty that I'm destined for greatness.,non-target
I feel like I can't escape the grip of anxiety.,non-target
Trying to navigate social situations when emotions can run high.,non-target
lol honeybaby i sound like a ny quil commercial that word only look right with a green background i want to sleep but i can t,non-target
Trying to find an anchor when my mind feels like it's drifting away.,Panic Disorder
I'm avoiding situations that might make me feel vulnerable or exposed.,non-target
"It's like my mind is a theater, playing worst-case scenarios on repeat.",non-target
It's hard to describe the conviction that I am meant for greatness.,non-target
renee okie dokie do you wan na ask ash and tegan and yasmin i asked nicole but she said she cant,non-target
"Feeling like I'm suffocating, even when there's enough air to breathe.",Panic Disorder
"Even in moments of doubt, I know I have a unique perspective.",non-target
"There are times when my mind is a storm, making it hard to focus.",Panic Disorder
The fear of judgment can keep me from expressing my true self.,non-target
I'm constantly checking my body for signs of panic.,Panic Disorder
Feeling like I'm a beacon of light in a sea of mediocrity.,non-target
"My heart can race as if I'm running a marathon, even while sitting still.",Panic Disorder
"Even in the quiet moments, my heart races as if I'm in danger.",Panic Disorder
"Feeling like I'm constantly scanning for signs of trouble, even when there's none.",non-target
I'm worried that my anxiety is holding me back from living my life.,non-target
I'm afraid of losing my mind during an attack.,Panic Disorder
I'm afraid of having a panic attack in public.,Panic Disorder
I wish I could find a way to channel my anger into something positive.,non-target
"I'm constantly grappling with my own anger, trying to contain it.",non-target
The challenge is finding ways to communicate my emotions without overwhelming others.,non-target
I often talk about my own achievements and talents.,non-target
I'm afraid that I'll be trapped in a situation when a panic attack strikes.,Panic Disorder
"My body can react as if danger is imminent, even in safe situations.",Panic Disorder
"The loneliness can be suffocating, even in a room full of people.",non-target
Feeling like my emotional responses can be disproportionate at times.,non-target
i m trying to plan trip low budget though don t think it is working,non-target
I expect people to recognize my greatness without me having to say it.,non-target
I'm trembling and shaking uncontrollably.,Panic Disorder
I'm struggling to manage the fear on my own.,Panic Disorder
I'm tired of the guilt that follows my anger outbursts.,non-target
The pressure to avoid missteps can keep me from taking steps forward.,non-target
I'm worried about the toll panic is taking on my health.,Panic Disorder
I'm worried about embarrassing myself in front of others.,Panic Disorder
fuck len wein s house caught fire earlier today the family is safe but they lost their dog,non-target
I'm worried that my anger is damaging my self-esteem.,non-target
Trying to navigate relationships with the awareness of my unique qualities.,non-target
I'm avoiding situations that might lead to a panic episode.,Panic Disorder
"Even in the safety of my own space, fear can make my heart race.",Panic Disorder
I'm experiencing a sense of impending doom.,Panic Disorder
I'm avoiding situations that might make me feel trapped.,Panic Disorder
I'm having a racing mind full of fearful thoughts.,Panic Disorder
smarrison i would ve been the first but i didn t have a gun not really though zac snyder s just a doucheclown,non-target
I'm afraid of losing control and embarrassing myself.,Panic Disorder
twxtd jordan i wish i could i have to keep my door open for other people that may need me,non-target
I feel like I'm losing my mind and can't control it.,Panic Disorder
I don't have the energy to face another day.,non-target
I wish I could find a way to communicate without resorting to anger.,non-target
I'm terrified of being alone during a panic episode.,Panic Disorder
The intensity of fear can make me feel like I'm losing control.,Panic Disorder
Trying to navigate a world that seems full of potential dangers.,non-target
"Even in moments of calm, my mind can be a whirlwind of fear.",Panic Disorder
"Even on good days, there's a lingering feeling of emptiness.",non-target
I'm paralyzed with fear and can't move.,Panic Disorder
The pressure to make the right decisions can feel suffocating at times.,non-target
It's hard when the future feels uncertain and scary.,non-target
I expect others to go out of their way to please me.,non-target
I'm desperate to escape the overwhelming fear.,Panic Disorder
"I'm avoiding triggers to prevent panic, but it's isolating.",Panic Disorder
I'm struggling to find a way to calm my racing thoughts.,Panic Disorder
"I can't catch my breath, and it's terrifying.",Panic Disorder
I'm worried about the impact of panic on my life.,Panic Disorder
Trying to navigate conversations when emotions run high.,non-target
Trying to express my self-assuredness while uplifting others.,non-target
It's hard to explain the rush of adrenaline that surges through me.,Panic Disorder
There are times when my body feels like a pressure cooker ready to explode.,Panic Disorder
