,Text,label
0,I can't shake off this constant sense of hopelessness.,Depression
1,I'm constantly second-guessing myself and my decisions.,Anxiety Disorder
2,"I'm feeling physically unwell, but I know it's not just that.",Depression
3,I'm desperate to escape the overwhelming fear.,Panic Disorder
4,It's hard to describe the sensation of being trapped in my own fear.,Panic Disorder
5,"I'm avoiding triggers to prevent panic, but it's isolating.",Panic Disorder
6,"My chest feels tight, and I'm struggling to breathe.",Panic Disorder
7,"Some days, it feels like I'm carrying a heavy weight that's hard to explain.",Depression
8,I'm overanalyzing every social interaction.,Anxiety Disorder
9,Trying to navigate conversations when emotions run high.,Anger/ Intermittent Explosive Disorder
10,The challenge is finding ways to handle powerful emotional reactions.,Depression
11,I'm worried that my anger is driving people away from me.,Anger/ Intermittent Explosive Disorder
12,"Even when I want to remain calm, emotions can surge unexpectedly.",Depression
13,I feel like I'm stuck in a cycle of perpetual worry.,Anxiety Disorder
14,I feel like I'm always on the verge of exploding.,Anger/ Intermittent Explosive Disorder
15,I expect others to admire my taste and choices.,Narcissistic Disorder
16,I wish I could manage my anger better.,Anger/ Intermittent Explosive Disorder
17,I'm afraid that my anger will lead me to lose important relationships.,Anger/ Intermittent Explosive Disorder
18,I'm worried that people will see through my facade of confidence.,Anxiety Disorder
19,I often interrupt conversations to redirect the attention to myself.,Narcissistic Disorder
20,"Even when I want to remain calm, emotions can surge unexpectedly.",Anger/ Intermittent Explosive Disorder
21,I wish I had better control over my reactions when I'm angry.,Anger/ Intermittent Explosive Disorder
22,I feel like I'm a disappointment to everyone who cares about me.,Depression
23,I'm overwhelmed by the constant chatter of my anxious thoughts.,Anxiety Disorder
24,"Trying to catch my breath, even when I'm not physically running.",Panic Disorder
25,I'm consumed by the need to be perfect and avoid mistakes.,Anxiety Disorder
26,Trying to balance the intensity of emotions with the desire for harmony.,Anger/ Intermittent Explosive Disorder
27,"Even when I want to stay calm, my emotions can flare up unexpectedly.",Anger/ Intermittent Explosive Disorder
28,I'm trembling and shaking uncontrollably.,Panic Disorder
29,Trying to express my viewpoints with a blend of self-assuredness and empathy.,Narcissistic Disorder
30,Feeling like I'm trapped in a maze of negative thoughts and feelings.,Depression
31,"No matter what I do, I can't escape these feelings.",Depression
32,I feel like my anger is a barrier to intimacy and connection.,Anger/ Intermittent Explosive Disorder
33,"Even in a crowd, I can feel alone, isolated by my own thoughts.",Depression
34,Feeling like my presence elevates any situation.,Narcissistic Disorder
35,It's hard to describe the allure of being admired and envied.,Narcissistic Disorder
36,I'm always anticipating the next source of stress.,Anxiety Disorder
37,It's like my mind is a magnet for all the things that could go wrong.,Anxiety Disorder
38,"The allure of success is irresistible, and I'm determined to achieve it.",Narcissistic Disorder
39,Trying to find small moments of joy amidst the overall struggle.,Depression
40,Trying to find motivation in a world that often feels colorless.,Depression
41,"I'm the best at everything I do, no one can compare.",Narcissistic Disorder
42,I'm avoiding situations that might trigger my panic.,Panic Disorder
43,Feeling like I'm navigating through a world of uncertainty and doubt.,Anxiety Disorder
44,Feeling like I'm carrying a heavy burden that's invisible to everyone else.,Depression
45,I'm convinced that others should be honored to know me.,Narcissistic Disorder
46,I'm constantly battling my own thoughts.,Depression
47,It's hard to describe the inner conviction that I'm deserving of greatness.,Narcissistic Disorder
48,"Feeling like I'm constantly scanning for signs of trouble, even when there's none.",Anxiety Disorder
49,I wish I could find healthier ways to cope with my anger.,Anger/ Intermittent Explosive Disorder
50,"The weight of emotions can be overwhelming, even when they're unspoken.",Depression
51,Feeling like my presence alone can elevate any situation.,Narcissistic Disorder
52,I expect people to validate my emotions and experiences.,Narcissistic Disorder
53,I'm losing interest in everything I used to enjoy.,Depression
54,Feeling like I'm in a constant tug-of-war between my worries and my desire for peace.,Anxiety Disorder
55,I feel entitled to the best of everything because of who I am.,Narcissistic Disorder
56,I'm constantly berating myself for my perceived failures.,Depression
57,I'm terrified of the unpredictability of panic.,Panic Disorder
58,I'm convinced that others should be in awe of me.,Narcissistic Disorder
59,I'm feeling like I'm in a nightmare that I can't wake up from.,Panic Disorder
60,"I'm losing touch with reality, and it's overwhelming.",Panic Disorder
61,I'm terrified of not being able to escape during an attack.,Panic Disorder
62,"Feeling like I'm walking on a tightrope, always teetering on the edge.",Depression
63,"My emotions can be intense and confusing, even to me.",Depression
64,I'm tired of feeling like a prisoner to my own anger.,Anger/ Intermittent Explosive Disorder
65,"The loneliness can be suffocating, even in a room full of people.",Depression
66,"Feeling like I'm living behind a mask, hiding the pain.",Depression
67,I don't think anyone would even notice if I'm gone.,Depression
68,Trying to find outlets for emotional energy that won't cause harm.,Depression
69,The challenge is finding ways to communicate my emotions without overwhelming others.,Anger/ Intermittent Explosive Disorder
70,I'm experiencing a sense of unreality during an attack.,Panic Disorder
71,I'm struggling to find any sense of purpose.,Depression
72,I'm constantly worried that I'm missing something important.,Anxiety Disorder
73,The pressure of managing strong emotions can be exhausting.,Depression
74,I deserve special treatment because I'm exceptional.,Narcissistic Disorder
75,"It's like a cloud of darkness that hangs over me, affecting my perspective.",Depression
76,I'm losing sleep over things that may never happen.,Anxiety Disorder
77,"Even in the safety of my own space, fear can make my heart race.",Panic Disorder
78,"The fear of making a mistake can be paralyzing, leaving me frozen in place.",Anxiety Disorder
79,I expect people to cater to my needs before their own.,Narcissistic Disorder
80,Trying to find moments of peace in a mind that's in turmoil.,Depression
81,It's hard to describe the sensation of being trapped in a cycle of worry.,Anxiety Disorder
82,It's like I'm trying to navigate through a maze of strong emotions.,Anger/ Intermittent Explosive Disorder
83,I'm struggling to find healthy ways to express my frustration.,Anger/ Intermittent Explosive Disorder
84,"The sensation of dread can wash over me in waves, unbidden.",Panic Disorder
85,I'm pushing people away because I feel unworthy of their love.,Depression
86,I feel like I can't escape the grip of anxiety.,Anxiety Disorder
87,"Even in moments of doubt, I know I have a unique perspective.",Narcissistic Disorder
88,Trying to find a way to stop my thoughts from racing in every direction.,Anxiety Disorder
89,"Even in moments of joy, there's a persistent shadow lurking.",Depression
90,I need constant validation and approval from others.,Narcissistic Disorder
91,Feeling like I'm stuck in a loop of dread that won't let go.,Panic Disorder
92,The pursuit of success is a driving force that pushes me forward.,Narcissistic Disorder
93,Trying to find a way to navigate a world that feels uncertain and scary.,Anxiety Disorder
94,I'm experiencing physical pain that matches my emotional pain.,Depression
95,The fear of not being in control can make even routine situations feel daunting.,Anxiety Disorder
96,"My thoughts are racing, and I can't calm them down.",Panic Disorder
97,I wish I could find a way to communicate without resorting to anger.,Anger/ Intermittent Explosive Disorder
98,I'm struggling to explain my panic to others.,Panic Disorder
99,"Sometimes, the smallest decisions feel like they carry the weight of the world.",Anxiety Disorder
100,I'm convinced that my opinions are always the most insightful.,Narcissistic Disorder
101,"Even when there's no immediate danger, the fear can still consume me.",Panic Disorder
102,"It's hard to explain the battle happening within me, day in and day out.",Depression
103,"It's like my mind is a theater, playing out potential dangers on repeat.",Anxiety Disorder
104,Trying to navigate life when my thoughts feel like a maze I can't escape.,Anxiety Disorder
105,Trying to express my self-assuredness while uplifting others.,Narcissistic Disorder
106,I'm constantly anticipating the next panic attack.,Panic Disorder
107,"My body can react as if danger is imminent, even in safe situations.",Panic Disorder
108,The challenge is to defuse intense emotions before they escalate further.,Anger/ Intermittent Explosive Disorder
109,It's hard when the future feels uncertain and scary.,Depression
110,I don't see a future for myself.,Depression
111,"It's like there's a storm inside me, and I'm trying to find calm.",Anger/ Intermittent Explosive Disorder
112,I'm worried about the impact of my anxiety on my relationships.,Anxiety Disorder
113,"It's like I'm constantly waiting for something to go wrong, even when it doesn't.",Panic Disorder
114,I'm quick to criticize others to boost my own self-esteem.,Narcissistic Disorder
115,I feel like I'm suffocating in my own thoughts.,Depression
116,Feeling like I'm constantly trying to stay one step ahead of potential problems.,Anxiety Disorder
117,Trying to find a way to quiet the storm of panic in my mind.,Panic Disorder
118,My anger is like a fire that burns me from the inside.,Anger/ Intermittent Explosive Disorder
119,I can't stand when someone else receives more attention than me.,Narcissistic Disorder
120,It's hard to explain the sensation of being caught in a loop of worry.,Anxiety Disorder
121,The belief in my unique qualities can sometimes be misconstrued.,Narcissistic Disorder
122,The battles happening inside me can be more exhausting than any physical challenge.,Depression
123,I'm living in a fog of numbness.,Depression
124,Trying to balance my confidence with an understanding of others' feelings.,Narcissistic Disorder
125,I'm avoiding places that remind me of past panic attacks.,Panic Disorder
126,I can't escape these negative thoughts.,Depression
127,Trying to quiet the chaos in my mind when everything feels overwhelming.,Anxiety Disorder
128,I'm struggling to find a way to stop the panic.,Panic Disorder
129,The challenge is to find ways to channel intense emotions into positive actions.,Anger/ Intermittent Explosive Disorder
130,Feeling like I'm constantly walking on a tightrope of emotions.,Depression
131,Feeling like I'm carrying a weight of apprehension that's hard to shake.,Anxiety Disorder
132,I'm not interested in people who can't offer me something valuable.,Narcissistic Disorder
133,I'm consumed by worry about things that are beyond my control.,Anxiety Disorder
134,"It's like there's a thunderstorm inside me, waiting to break free.",Anger/ Intermittent Explosive Disorder
135,I'm struggling to concentrate because of my racing thoughts.,Anxiety Disorder
136,I believe I'm entitled to the best treatment in any situation.,Narcissistic Disorder
137,Trying to find ways to cope when emotions surge unexpectedly.,Anger/ Intermittent Explosive Disorder
138,I'm afraid of having a panic attack in public.,Panic Disorder
139,Trying to balance my reactions in a world that can be frustrating.,Depression
140,I can't find any motivation to do things.,Depression
141,I'm tired of losing my temper and hurting others.,Anger/ Intermittent Explosive Disorder
142,Trying to maintain control when emotions threaten to consume me.,Depression
143,It's hard to describe the storm of emotions that can brew within me.,Depression
144,My anger is like a storm that clouds my judgment.,Anger/ Intermittent Explosive Disorder
145,"I'm feeling like I'm on the edge of a cliff, about to fall.",Panic Disorder
146,I feel like my anger is sabotaging my happiness.,Anger/ Intermittent Explosive Disorder
147,I feel like I'm drowning in my own rage.,Anger/ Intermittent Explosive Disorder
148,I expect people to validate my feelings and opinions.,Narcissistic Disorder
149,Getting out of bed can be the most challenging part of the day.,Depression
150,I find it hard to genuinely empathize with others' struggles.,Narcissistic Disorder
151,The mind can be a maze of dark thoughts that's hard to navigate.,Depression
152,Trying to find light in moments when everything seems shrouded in darkness.,Depression
153,It's like I'm grappling with a whirlwind of emotions that won't subside.,Anger/ Intermittent Explosive Disorder
154,I often manipulate others to ensure they admire or adore me.,Narcissistic Disorder
155,The fear of making a mistake can keep me from even trying.,Anxiety Disorder
156,I'm worried that my anger is impacting my physical health.,Anger/ Intermittent Explosive Disorder
157,I'm paralyzed with fear and can't move.,Panic Disorder
158,I wish I could just disappear and not be a bother.,Depression
159,Feeling like I'm on a roller coaster of emotions that won't slow down.,Anxiety Disorder
160,Feeling like I'm carrying a weight of concern that's hard to put down.,Anxiety Disorder
161,"Feeling emotionally exhausted, even after a full night's sleep.",Depression
162,Feeling like I'm a beacon of light in a sea of mediocrity.,Narcissistic Disorder
163,My anger feels like a poison that spreads through me.,Anger/ Intermittent Explosive Disorder
164,Even the smallest tasks can feel like climbing a mountain.,Depression
165,I often talk about my own achievements and talents.,Narcissistic Disorder
166,I expect others to admire and look up to me.,Narcissistic Disorder
167,Feeling like my emotional responses can be disproportionate at times.,Anger/ Intermittent Explosive Disorder
168,I wish I could feel something other than sadness.,Depression
169,Feeling like I'm constantly trying to keep emotions in check.,Anger/ Intermittent Explosive Disorder
170,I'm driven by the need to outshine everyone around me.,Narcissistic Disorder
171,Trying to find outlets for emotional energy that won't cause harm.,Anger/ Intermittent Explosive Disorder
172,The fear of the future can overshadow even the brightest moments.,Anxiety Disorder
173,I feel like I'm drowning in my own fear.,Panic Disorder
174,I'm struggling to find healthy outlets for my anger.,Anger/ Intermittent Explosive Disorder
175,I wish I could escape this prison of my own mind.,Depression
176,I feel like I'm on the verge of a panic attack all the time.,Anxiety Disorder
177,I'm envious of people who seem happy and carefree.,Depression
178,I'm avoiding situations that might make me feel trapped.,Panic Disorder
179,I feel like my anger is a ticking time bomb.,Anger/ Intermittent Explosive Disorder
180,It's hard to explain the magnetic pull I have on others.,Narcissistic Disorder
181,Feeling like my emotions are a force that's hard to contain.,Depression
182,"I can't control my temper, and it scares me.",Anger/ Intermittent Explosive Disorder
183,I feel like my anger is taking over my life.,Anger/ Intermittent Explosive Disorder
184,It's like I'm trying to steer a ship through choppy emotional waters.,Depression
185,I'm constantly searching for strategies to manage my anger.,Anger/ Intermittent Explosive Disorder
186,I'm annoyed when others don't immediately agree with me.,Narcissistic Disorder
187,I'm afraid that I'll be trapped in a situation when a panic attack strikes.,Panic Disorder
188,I'm struggling to find ways to calm myself down when I'm angry.,Anger/ Intermittent Explosive Disorder
189,I can't shake off this feeling of worthlessness.,Depression
190,"It's like I'm always bracing for impact, even when there's no danger.",Panic Disorder
191,"Even in the face of challenges, I know I have what it takes.",Narcissistic Disorder
192,It's hard to describe the restlessness and unease that can take over.,Anxiety Disorder
193,Trying to navigate relationships with the knowledge of my unique qualities.,Narcissistic Disorder
194,Feeling like I'm in a constant battle against my own mind.,Anxiety Disorder
195,I'm avoiding situations that might lead to a panic episode.,Panic Disorder
196,It's hard to describe the feeling of being caught in an emotional whirlpool.,Anger/ Intermittent Explosive Disorder
197,I'm avoiding things I used to love because of the fear of panic.,Panic Disorder
198,Trying to find a way to cope when everything feels heavy.,Depression
199,"Even when challenges arise, I am confident in my ability to overcome.",Narcissistic Disorder
200,I just want this pain to end.,Depression
201,It's hard to describe the emptiness that can fill my days.,Depression
202,"I often put myself first, even if it inconveniences others.",Narcissistic Disorder
203,"Even when I don't want to react strongly, emotions can overpower me.",Depression
204,There are times when the noise in my head is louder than the world around me.,Panic Disorder
205,Feeling like my achievements are proof of my exceptional abilities.,Narcissistic Disorder
206,I don't deserve to be happy.,Depression
207,"Some days, it's like I'm just going through the motions, not really living.",Depression
208,I can't shake off this feeling of impending doom.,Anxiety Disorder
209,I'm worried that my anxious thoughts are taking over my life.,Anxiety Disorder
210,I'm quick to put others down to make myself feel superior.,Narcissistic Disorder
211,I'm worried that my anger is preventing me from living a fulfilling life.,Anger/ Intermittent Explosive Disorder
212,I'm constantly comparing myself to others and feeling inadequate.,Anxiety Disorder
213,I'm avoiding things I used to enjoy because of my anxiety.,Anxiety Disorder
214,Trying to find the balance between self-confidence and humility.,Narcissistic Disorder
215,"I'm just existing, not living.",Depression
216,I'm putting on a mask to hide my pain from others.,Depression
217,"Guilt can be overwhelming, for not being able to 'snap out of it.'",Depression
218,"The ache inside me is deep, like a wound that won't heal.",Depression
219,"Even in moments of calm, my heart can race as if I'm in danger.",Anxiety Disorder
220,I feel like I'm constantly walking on eggshells in my own mind.,Anxiety Disorder
221,I'm struggling to stay grounded during an attack.,Panic Disorder
222,"Feeling like I'm exceptional, with the power to inspire those around me.",Narcissistic Disorder
223,The pressure to make the right decisions can feel suffocating at times.,Anxiety Disorder
224,I don't really care about anything.,Depression
225,It's hard to explain the surge of powerful emotions that sometimes take over.,Depression
226,I'm canceling plans because I don't have the energy to socialize.,Depression
227,"Feeling like I'm constantly on edge, as if danger is always lurking.",Anxiety Disorder
228,Feeling like I'm constantly trying to keep emotions in check.,Depression
229,The pressure to keep emotions in check can be exhausting.,Anger/ Intermittent Explosive Disorder
230,Feeling like my emotional state can be unpredictable at times.,Anger/ Intermittent Explosive Disorder
231,It's like my emotions are on a roller coaster I can't control.,Depression
232,It's like my mind is a magnet for all the potential dangers around me.,Anxiety Disorder
233,I'm experiencing a sense of impending doom.,Panic Disorder
234,I expect others to listen to me and admire my opinions.,Narcissistic Disorder
235,I feel like my anxiety is a never-ending battle.,Anxiety Disorder
236,My anger feels like a heavy weight that I can't shake off.,Anger/ Intermittent Explosive Disorder
237,I'm concerned that my anger is hurting my loved ones.,Anger/ Intermittent Explosive Disorder
238,I get so frustrated that I just lash out without thinking.,Anger/ Intermittent Explosive Disorder
239,I can't escape this darkness.,Depression
240,"Feeling like I'm on edge, as if any moment could set off intense feelings.",Anger/ Intermittent Explosive Disorder
241,"Some moments, it feels like the world is crashing down around me.",Panic Disorder
242,I'm afraid of losing touch with reality completely.,Panic Disorder
243,"I feel so alone, even in a crowd.",Depression
244,I feel entitled to loyalty and admiration from my friends.,Narcissistic Disorder
245,"It's like my feelings can boil over, even when I don't want them to.",Anger/ Intermittent Explosive Disorder
246,Feeling overwhelmed by intense emotions that bubble to the surface.,Anger/ Intermittent Explosive Disorder
247,My anger is like a storm that clouds my judgment.,Anger/ Intermittent Explosive Disorder
248,"I'm so tired all the time, no matter how much I sleep.",Depression
249,"The pain can be constant, like a dull ache that never fades.",Depression
250,I'm afraid of losing my mind during an attack.,Panic Disorder
251,It's hard when my mind feels like a prison I can't escape.,Depression
252,The internal battle can feel like a constant tug-of-war between feelings.,Anger/ Intermittent Explosive Disorder
253,I expect people to recognize my greatness without me having to say it.,Narcissistic Disorder
254,I wish I could explain why I feel sad when everything seems fine.,Depression
255,I feel like I'm alienating those around me with my anger.,Anger/ Intermittent Explosive Disorder
256,"It's tough when the world feels heavy, and I can't explain why.",Depression
257,Trying to balance my innate confidence with empathy for others.,Narcissistic Disorder
258,Trying to find outlets for emotional energy that won't cause harm.,Depression
259,I feel like my anger is ruining my relationships.,Anger/ Intermittent Explosive Disorder
260,The struggle is finding ways to navigate life when emotions are intense.,Depression
261,I can't stand criticism or anything that challenges my greatness.,Narcissistic Disorder
262,It's hard to explain the inner tempest that can brew within me.,Depression
263,Feeling like I'm in a constant battle to control the intensity of my feelings.,Anger/ Intermittent Explosive Disorder
264,I'm constantly monitoring my body for signs of panic.,Panic Disorder
265,I can't remember the last time I genuinely smiled.,Depression
266,I'm irritable and angry for no apparent reason.,Depression
267,"Even in a room full of people, I know my presence is magnetic.",Narcissistic Disorder
268,I feel like I'm going to lose control any second.,Panic Disorder
269,I don't need anyone's help; I can handle everything on my own.,Narcissistic Disorder
270,Feeling like my emotions are on a roller coaster I can't control.,Anger/ Intermittent Explosive Disorder
271,Trying to find a way to calm the storm of thoughts that never seem to settle.,Anxiety Disorder
272,Trying to find a way to escape the cycle of worry that never seems to end.,Anxiety Disorder
273,I'm crying without even knowing why.,Depression
274,I'm struggling to sleep because my mind won't stop racing.,Anxiety Disorder
275,"Even when I want to relax, my mind can keep racing as if danger is imminent.",Anxiety Disorder
276,Trying to navigate relationships when emotions can be overwhelming.,Anger/ Intermittent Explosive Disorder
277,"Feeling like I'm drowning in sadness, unable to find the surface.",Depression
278,Trying to find strength in small victories amidst the struggle.,Depression
279,"Even when everything seems fine, my mind can conjure up doubts and fears.",Anxiety Disorder
280,"I'm always the center of attention, and I love it.",Narcissistic Disorder
281,"Even when I don't want to react strongly, my emotions can surge unexpectedly.",Anger/ Intermittent Explosive Disorder
282,I wish I could find a way to release my anger without causing harm.,Anger/ Intermittent Explosive Disorder
283,I'm always trying to anticipate and prepare for potential problems.,Anxiety Disorder
284,It's hard to explain the battle that goes on within my mind and heart.,Depression
285,"Even when I'm silent, I command the room's focus.",Narcissistic Disorder
286,Trying to express myself confidently without appearing arrogant.,Narcissistic Disorder
287,"The struggle is real, and finding healthy ways to manage emotions is key.",Depression
288,The intensity of fear can make me feel like I'm losing control.,Panic Disorder
289,I'm having a racing mind full of fearful thoughts.,Panic Disorder
290,"Feeling like I'm constantly on guard, waiting for something to happen.",Panic Disorder
291,I feel like my anger is a barrier to my personal growth.,Anger/ Intermittent Explosive Disorder
292,"Feeling like I'm juggling my emotions, trying not to let them take over.",Anger/ Intermittent Explosive Disorder
293,I'm convinced that others envy me and my success.,Narcissistic Disorder
294,The allure of power and success can be a driving force in my journey.,Narcissistic Disorder
295,I'm constantly worrying about things that haven't even happened.,Anxiety Disorder
296,I feel like I'm drowning in a sea of worries.,Anxiety Disorder
297,It's hard to describe the inner struggle of managing powerful emotions.,Depression
298,I'm scared of the consequences of my anger on my life.,Anger/ Intermittent Explosive Disorder
299,It's like I'm grappling with a whirlwind of emotions that won't subside.,Depression
300,I deserve recognition and praise for my achievements.,Narcissistic Disorder
301,I'm terrified that I'm going to die.,Panic Disorder
302,"Even in a room full of people, I know I'm the most captivating.",Narcissistic Disorder
303,I'm convinced that I'm more charming than most people.,Narcissistic Disorder
304,Feeling like my emotional state can be unpredictable at times.,Depression
305,The pressure of keeping emotions in check can sometimes be overwhelming.,Depression
306,It's hard to explain the constant battle happening inside my mind.,Depression
307,Feeling like I'm constantly carrying a backpack of worries everywhere I go.,Anxiety Disorder
308,Trying to find ways to cope with intense feelings without hurting myself or others.,Anger/ Intermittent Explosive Disorder
309,"Trying to hold onto hope, even when it feels out of reach.",Depression
310,I'm struggling to concentrate on anything.,Depression
311,I'm losing interest in the things I used to love.,Depression
312,My anger feels like an anchor that's weighing me down.,Anger/ Intermittent Explosive Disorder
