user_id,date_first,date_last,total_posts,ptsd_count,ptsd_plus_comorbidity_count,ptsd_negative_count,ptsd_pct,ptsd_plus_comorbidity_pct
490044008,2016-12-16 17:49:24+00:00,2017-01-12 08:13:17+00:00,2117,229,16,22,10.82,0.76
762433972273950725,2016-12-13 09:13:36+00:00,2017-01-12 08:13:18+00:00,396,141,28,51,35.61,7.07
3249600438,2016-12-13 18:35:22+00:00,2017-01-12 08:13:33+00:00,1504,135,6,12,8.98,0.4
1052121847,2014-10-06 05:23:54+00:00,2014-11-05 05:23:27+00:00,717,122,15,34,17.02,2.09
1169875706,2017-01-12 00:04:47+00:00,2017-01-12 08:13:47+00:00,360,117,48,6,32.5,13.33
1497350173,2016-12-13 22:26:54+00:00,2017-01-12 08:13:47+00:00,792,88,8,8,11.11,1.01
18831261,2016-12-13 20:20:18+00:00,2017-01-12 08:13:42+00:00,543,85,17,24,15.65,3.13
2285922931,2014-12-24 00:07:11+00:00,2015-01-22 23:01:46+00:00,725,81,3,10,11.17,0.41
145626605,2016-12-13 15:48:21+00:00,2017-01-12 08:13:14+00:00,1276,78,3,10,6.11,0.24
3346224328,2015-10-08 16:05:37+00:00,2015-11-07 14:15:26+00:00,650,74,3,0,11.38,0.46
20118423,2015-11-25 18:40:49+00:00,2015-12-25 00:36:22+00:00,698,59,5,10,8.45,0.72
14724376,2016-02-20 23:19:00+00:00,2016-03-21 22:18:15+00:00,341,51,5,12,14.96,1.47
3015971504,2015-03-04 04:41:36+00:00,2015-03-24 22:23:59+00:00,458,48,4,11,10.48,0.87
3045320288,2015-10-16 03:17:02+00:00,2015-11-02 02:45:32+00:00,633,44,2,6,6.95,0.32
1058067937,2013-01-03 15:38:54+00:00,2013-01-08 11:02:52+00:00,161,43,5,8,26.71,3.11
1616997456,2015-04-07 07:20:50+00:00,2015-05-07 06:14:41+00:00,888,42,0,0,4.73,0.0
1629737760,2015-03-13 14:02:26+00:00,2015-03-27 08:09:43+00:00,177,37,0,0,20.9,0.0
49548465,2015-07-01 22:56:37+00:00,2015-07-31 21:08:50+00:00,352,35,0,8,9.94,0.0
171999132,2016-12-18 04:10:17+00:00,2017-01-12 08:13:15+00:00,121,31,2,2,25.62,1.65
377696171,2015-11-02 15:43:25+00:00,2015-12-02 07:26:58+00:00,332,30,2,11,9.04,0.6
20863408,2015-04-01 23:44:35+00:00,2015-05-01 23:44:25+00:00,117,27,12,3,23.08,10.26
324294391,2016-12-14 04:40:25+00:00,2017-01-12 08:13:53+00:00,215,27,1,8,12.56,0.47
1013187241,2015-07-31 14:25:11+00:00,2015-08-30 07:48:37+00:00,243,25,3,7,10.29,1.23
325328455,2016-03-06 16:02:58+00:00,2016-04-03 19:47:20+00:00,100,23,2,1,23.0,2.0
60868031,2009-08-26 13:19:08+00:00,2009-09-02 06:01:30+00:00,530,20,2,1,3.77,0.38
468753088,2015-09-19 04:28:05+00:00,2015-10-19 01:30:04+00:00,257,17,1,8,6.61,0.39
47622202,2015-11-01 17:24:11+00:00,2015-11-30 14:35:03+00:00,120,17,1,3,14.17,0.83
1458225506,2016-12-17 10:14:08+00:00,2017-01-12 08:13:20+00:00,1593,16,0,0,1.0,0.0
343501537,2015-09-01 18:50:38+00:00,2015-09-30 18:25:17+00:00,221,16,1,2,7.24,0.45
718984718,2015-04-26 16:28:54+00:00,2015-05-25 21:13:33+00:00,138,15,0,3,10.87,0.0
30863895,2014-12-22 12:20:34+00:00,2015-01-19 00:09:30+00:00,142,13,2,2,9.15,1.41
1942261957,2015-03-17 04:04:32+00:00,2015-04-16 00:33:25+00:00,62,12,1,0,19.35,1.61
454311273,2012-12-08 20:36:17+00:00,2013-01-07 03:51:03+00:00,196,11,2,2,5.61,1.02
632291359,2013-12-26 02:04:42+00:00,2014-01-24 23:20:21+00:00,144,11,2,7,7.64,1.39
29053403,2016-12-14 04:44:41+00:00,2017-01-12 08:13:50+00:00,112,10,0,6,8.93,0.0
1306425758,2015-04-25 12:00:16+00:00,2015-05-25 03:04:02+00:00,306,9,0,2,2.94,0.0
1143982232,2013-02-03 02:57:06+00:00,2013-02-28 04:52:01+00:00,125,9,0,5,7.2,0.0
1015648590,2014-09-03 11:19:08+00:00,2014-10-02 15:55:05+00:00,84,8,0,2,9.52,0.0
803100541,2014-10-25 21:04:50+00:00,2014-11-24 20:55:37+00:00,109,8,0,2,7.34,0.0
74046089,2015-12-25 07:24:15+00:00,2016-01-24 05:07:35+00:00,50,8,1,4,16.0,2.0
2369443141,2016-12-13 14:44:30+00:00,2017-01-12 08:13:35+00:00,95,6,2,0,6.32,2.11
28727726,2015-09-17 03:48:57+00:00,2015-10-16 22:24:10+00:00,35,6,0,2,17.14,0.0
2766067037,2015-04-12 01:24:58+00:00,2015-05-03 17:34:57+00:00,60,6,2,0,10.0,3.33
39248633,2015-09-07 16:15:41+00:00,2015-10-07 13:15:50+00:00,119,5,0,0,4.2,0.0
218579504,2015-01-23 07:01:33+00:00,2015-02-22 00:23:10+00:00,59,4,0,0,6.78,0.0
422475242,2015-03-21 02:47:25+00:00,2015-04-17 03:27:51+00:00,40,4,1,1,10.0,2.5
727820220291645442,2016-12-29 13:48:54+00:00,2017-01-12 08:13:47+00:00,11,4,0,2,36.36,0.0
763182466098233344,2017-01-04 22:42:43+00:00,2017-01-12 08:13:33+00:00,522,4,0,0,0.77,0.0
894149342,2016-12-14 02:13:16+00:00,2017-01-12 08:13:05+00:00,131,3,0,1,2.29,0.0
1383256561,2013-04-27 01:17:38+00:00,2013-05-01 16:58:19+00:00,56,2,0,1,3.57,0.0
2780518314,2016-12-15 12:43:53+00:00,2017-01-12 08:13:21+00:00,193,1,0,0,0.52,0.0
38988469,2015-01-25 22:00:00+00:00,2015-02-24 19:00:02+00:00,71,1,0,0,1.41,0.0
221788137,2015-01-17 13:12:29+00:00,2015-02-16 01:15:44+00:00,188,1,0,0,0.53,0.0
236851154,2015-05-04 21:29:35+00:00,2015-06-03 21:04:09+00:00,69,1,1,0,1.45,1.45
484109859,2015-02-17 20:32:38+00:00,2015-03-19 13:37:06+00:00,78,1,0,0,1.28,0.0
548972753,2016-12-14 18:38:53+00:00,2017-01-12 08:13:04+00:00,17,1,0,0,5.88,0.0
426755505,2014-09-16 13:06:03+00:00,2014-09-23 20:17:30+00:00,2,1,1,0,50.0,50.0
2828686140,2016-03-25 06:15:19+00:00,2016-04-09 19:12:19+00:00,29,1,0,0,3.45,0.0
2258481217,2015-03-27 11:16:44+00:00,2015-03-27 11:18:05+00:00,4,1,1,1,25.0,25.0
3138163878,2015-04-04 01:15:21+00:00,2015-04-04 01:30:57+00:00,5,1,1,1,20.0,20.0
2660477449,2015-10-18 05:53:51+00:00,2015-11-15 05:17:24+00:00,40,1,0,0,2.5,0.0
26620439,2015-01-31 21:22:24+00:00,2015-03-02 02:15:49+00:00,25,0,0,0,0.0,0.0
211257562,2010-11-02 19:24:45+00:00,2010-11-02 19:31:09+00:00,3,0,0,0,0.0,0.0
