disorder_key,disorder,fold,row_id,y_true,score_positive,tau_val,y_pred_at_tau_val
anxiety,Anxiety (d2),1,3,0,0.2687058,0.37382856011390686,0
anxiety,Anxiety (d2),1,4,1,0.11208149,0.37382856011390686,0
anxiety,Anxiety (d2),1,7,0,0.62868077,0.37382856011390686,1
anxiety,Anxiety (d2),1,10,1,0.8673527,0.37382856011390686,1
anxiety,Anxiety (d2),1,11,1,0.47078013,0.37382856011390686,1
anxiety,Anxiety (d2),1,14,1,0.900071,0.37382856011390686,1
anxiety,Anxiety (d2),1,15,1,0.85481244,0.37382856011390686,1
anxiety,Anxiety (d2),1,20,1,0.830564,0.37382856011390686,1
anxiety,Anxiety (d2),1,21,0,0.036884412,0.37382856011390686,0
anxiety,Anxiety (d2),1,25,0,0.027175823,0.37382856011390686,0
anxiety,Anxiety (d2),1,28,0,0.4088233,0.37382856011390686,1
anxiety,Anxiety (d2),1,30,1,0.90025324,0.37382856011390686,1
anxiety,Anxiety (d2),1,33,1,0.13501504,0.37382856011390686,0
anxiety,Anxiety (d2),1,36,1,0.8941599,0.37382856011390686,1
anxiety,Anxiety (d2),1,38,1,0.8827133,0.37382856011390686,1
anxiety,Anxiety (d2),1,47,1,0.90609056,0.37382856011390686,1
anxiety,Anxiety (d2),1,49,0,0.60203177,0.37382856011390686,1
anxiety,Anxiety (d2),1,50,0,0.07998257,0.37382856011390686,0
anxiety,Anxiety (d2),1,54,0,0.077399164,0.37382856011390686,0
anxiety,Anxiety (d2),1,62,0,0.08774868,0.37382856011390686,0
anxiety,Anxiety (d2),1,64,0,0.88587517,0.37382856011390686,1
anxiety,Anxiety (d2),1,66,1,0.3425273,0.37382856011390686,0
anxiety,Anxiety (d2),1,69,1,0.052963164,0.37382856011390686,0
anxiety,Anxiety (d2),1,72,0,0.87748295,0.37382856011390686,1
anxiety,Anxiety (d2),1,73,1,0.90558404,0.37382856011390686,1
anxiety,Anxiety (d2),1,77,0,0.8603997,0.37382856011390686,1
anxiety,Anxiety (d2),1,81,0,0.8972298,0.37382856011390686,1
anxiety,Anxiety (d2),1,87,1,0.887654,0.37382856011390686,1
anxiety,Anxiety (d2),1,90,1,0.9106682,0.37382856011390686,1
anxiety,Anxiety (d2),1,94,1,0.91133666,0.37382856011390686,1
anxiety,Anxiety (d2),1,97,0,0.025487464,0.37382856011390686,0
anxiety,Anxiety (d2),1,102,0,0.8085586,0.37382856011390686,1
anxiety,Anxiety (d2),1,106,0,0.4797952,0.37382856011390686,1
anxiety,Anxiety (d2),1,109,0,0.023036512,0.37382856011390686,0
anxiety,Anxiety (d2),1,113,0,0.8655492,0.37382856011390686,1
anxiety,Anxiety (d2),1,123,0,0.024890533,0.37382856011390686,0
anxiety,Anxiety (d2),1,128,1,0.90950537,0.37382856011390686,1
anxiety,Anxiety (d2),1,130,0,0.903262,0.37382856011390686,1
anxiety,Anxiety (d2),1,142,0,0.1674514,0.37382856011390686,0
anxiety,Anxiety (d2),1,143,0,0.72145975,0.37382856011390686,1
anxiety,Anxiety (d2),1,147,0,0.682547,0.37382856011390686,1
