disorder_key,disorder,fold,row_id,y_true,score_positive,tau_val,y_pred_at_tau_val
depression,Depression (d3),1,1,0,0.016711252,0.9669888615608215,0
depression,Depression (d3),1,2,0,0.0125632025,0.9669888615608215,0
depression,Depression (d3),1,12,1,0.3120812,0.9669888615608215,0
depression,Depression (d3),1,17,0,0.9682225,0.9669888615608215,1
depression,Depression (d3),1,21,1,0.96252507,0.9669888615608215,0
depression,Depression (d3),1,26,1,0.97558904,0.9669888615608215,1
depression,Depression (d3),1,32,1,0.97524685,0.9669888615608215,1
depression,Depression (d3),1,33,1,0.9803798,0.9669888615608215,1
depression,Depression (d3),1,41,0,0.17113104,0.9669888615608215,0
depression,Depression (d3),1,43,1,0.98455805,0.9669888615608215,1
depression,Depression (d3),1,45,1,0.9849748,0.9669888615608215,1
depression,Depression (d3),1,60,0,0.959944,0.9669888615608215,0
depression,Depression (d3),1,62,0,0.009822721,0.9669888615608215,0
depression,Depression (d3),1,67,1,0.98290586,0.9669888615608215,1
depression,Depression (d3),1,69,1,0.9854768,0.9669888615608215,1
depression,Depression (d3),1,71,1,0.98498696,0.9669888615608215,1
depression,Depression (d3),1,74,1,0.98543173,0.9669888615608215,1
depression,Depression (d3),1,77,1,0.9854241,0.9669888615608215,1
depression,Depression (d3),1,84,1,0.98144525,0.9669888615608215,1
depression,Depression (d3),1,89,0,0.015079582,0.9669888615608215,0
depression,Depression (d3),1,90,0,0.9558697,0.9669888615608215,0
depression,Depression (d3),1,95,0,0.02786897,0.9669888615608215,0
depression,Depression (d3),1,96,0,0.1246704,0.9669888615608215,0
depression,Depression (d3),1,100,1,0.98064005,0.9669888615608215,1
depression,Depression (d3),1,104,0,0.034251574,0.9669888615608215,0
depression,Depression (d3),1,106,1,0.98087215,0.9669888615608215,1
depression,Depression (d3),1,110,1,0.84695697,0.9669888615608215,0
depression,Depression (d3),1,115,1,0.9529725,0.9669888615608215,0
depression,Depression (d3),1,123,1,0.983621,0.9669888615608215,1
depression,Depression (d3),1,124,1,0.98511004,0.9669888615608215,1
depression,Depression (d3),1,132,0,0.010531601,0.9669888615608215,0
depression,Depression (d3),1,135,1,0.98573095,0.9669888615608215,1
depression,Depression (d3),1,136,1,0.97832733,0.9669888615608215,1
depression,Depression (d3),1,137,0,0.4461691,0.9669888615608215,0
depression,Depression (d3),1,140,0,0.011955734,0.9669888615608215,0
depression,Depression (d3),1,141,1,0.9745001,0.9669888615608215,1
depression,Depression (d3),1,143,0,0.016923472,0.9669888615608215,0
depression,Depression (d3),1,156,1,0.9656701,0.9669888615608215,0
depression,Depression (d3),1,157,0,0.013875094,0.9669888615608215,0
depression,Depression (d3),1,158,1,0.9738376,0.9669888615608215,1
depression,Depression (d3),1,162,1,0.97768193,0.9669888615608215,1
depression,Depression (d3),1,164,0,0.06954567,0.9669888615608215,0
depression,Depression (d3),1,165,1,0.047135446,0.9669888615608215,0
depression,Depression (d3),1,169,1,0.98135436,0.9669888615608215,1
depression,Depression (d3),1,171,0,0.13232331,0.9669888615608215,0
depression,Depression (d3),1,173,1,0.98357534,0.9669888615608215,1
depression,Depression (d3),1,174,0,0.021079535,0.9669888615608215,0
depression,Depression (d3),1,175,1,0.9844089,0.9669888615608215,1
depression,Depression (d3),1,183,1,0.98343766,0.9669888615608215,1
depression,Depression (d3),1,191,1,0.9847001,0.9669888615608215,1
depression,Depression (d3),1,193,0,0.009478405,0.9669888615608215,0
depression,Depression (d3),1,198,0,0.1691921,0.9669888615608215,0
depression,Depression (d3),1,201,0,0.012721002,0.9669888615608215,0
depression,Depression (d3),1,204,0,0.14031255,0.9669888615608215,0
depression,Depression (d3),1,207,0,0.01298768,0.9669888615608215,0
depression,Depression (d3),1,208,0,0.012511991,0.9669888615608215,0
depression,Depression (d3),1,210,0,0.012510071,0.9669888615608215,0
depression,Depression (d3),1,211,1,0.96218413,0.9669888615608215,0
depression,Depression (d3),1,212,0,0.35431144,0.9669888615608215,0
depression,Depression (d3),1,217,1,0.98755205,0.9669888615608215,1
depression,Depression (d3),1,221,0,0.33947673,0.9669888615608215,0
depression,Depression (d3),1,229,0,0.016406117,0.9669888615608215,0
depression,Depression (d3),1,236,1,0.9835036,0.9669888615608215,1
depression,Depression (d3),1,239,1,0.9249492,0.9669888615608215,0
depression,Depression (d3),1,240,0,0.012831864,0.9669888615608215,0
depression,Depression (d3),1,243,1,0.98673975,0.9669888615608215,1
depression,Depression (d3),1,245,0,0.009506803,0.9669888615608215,0
depression,Depression (d3),1,246,0,0.5272575,0.9669888615608215,0
depression,Depression (d3),1,247,1,0.94266486,0.9669888615608215,0
depression,Depression (d3),1,248,1,0.9807227,0.9669888615608215,1
depression,Depression (d3),1,252,0,0.00925665,0.9669888615608215,0
depression,Depression (d3),1,253,1,0.97888374,0.9669888615608215,1
depression,Depression (d3),1,254,0,0.98222363,0.9669888615608215,1
depression,Depression (d3),1,263,0,0.012571931,0.9669888615608215,0
depression,Depression (d3),1,272,0,0.19224955,0.9669888615608215,0
depression,Depression (d3),1,276,0,0.012862676,0.9669888615608215,0
depression,Depression (d3),1,280,0,0.13752413,0.9669888615608215,0
depression,Depression (d3),1,290,0,0.020021485,0.9669888615608215,0
depression,Depression (d3),1,292,1,0.97696006,0.9669888615608215,1
depression,Depression (d3),1,293,1,0.23135047,0.9669888615608215,0
depression,Depression (d3),1,294,0,0.9835836,0.9669888615608215,1
depression,Depression (d3),1,295,0,0.4045592,0.9669888615608215,0
depression,Depression (d3),1,297,1,0.9846296,0.9669888615608215,1
depression,Depression (d3),1,300,1,0.95123905,0.9669888615608215,0
depression,Depression (d3),1,308,0,0.9827483,0.9669888615608215,1
depression,Depression (d3),1,312,1,0.9841852,0.9669888615608215,1
depression,Depression (d3),1,314,1,0.9865346,0.9669888615608215,1
depression,Depression (d3),1,315,0,0.96644115,0.9669888615608215,0
depression,Depression (d3),1,318,1,0.9861255,0.9669888615608215,1
depression,Depression (d3),1,322,0,0.024288828,0.9669888615608215,0
depression,Depression (d3),1,332,0,0.2711427,0.9669888615608215,0
depression,Depression (d3),1,335,1,0.9801185,0.9669888615608215,1
depression,Depression (d3),1,347,0,0.04428539,0.9669888615608215,0
depression,Depression (d3),1,351,0,0.015779408,0.9669888615608215,0
depression,Depression (d3),1,355,1,0.9861611,0.9669888615608215,1
depression,Depression (d3),1,359,0,0.0128873475,0.9669888615608215,0
depression,Depression (d3),1,363,0,0.8772927,0.9669888615608215,0
depression,Depression (d3),1,374,1,0.96839285,0.9669888615608215,1
depression,Depression (d3),1,379,1,0.9861616,0.9669888615608215,1
depression,Depression (d3),1,385,0,0.018533932,0.9669888615608215,0
depression,Depression (d3),1,394,0,0.024917975,0.9669888615608215,0
depression,Depression (d3),2,0,0,0.05654315,0.982799768447876,0
depression,Depression (d3),2,7,0,0.012920023,0.982799768447876,0
depression,Depression (d3),2,9,1,0.9903758,0.982799768447876,1
depression,Depression (d3),2,14,1,0.98631567,0.982799768447876,1
depression,Depression (d3),2,18,1,0.9686017,0.982799768447876,0
depression,Depression (d3),2,19,0,0.29691553,0.982799768447876,0
depression,Depression (d3),2,20,1,0.98933905,0.982799768447876,1
depression,Depression (d3),2,24,0,0.9844871,0.982799768447876,1
depression,Depression (d3),2,29,1,0.9907569,0.982799768447876,1
depression,Depression (d3),2,30,1,0.9900283,0.982799768447876,1
depression,Depression (d3),2,31,1,0.98117036,0.982799768447876,0
depression,Depression (d3),2,35,0,0.016275682,0.982799768447876,0
depression,Depression (d3),2,37,0,0.028494095,0.982799768447876,0
depression,Depression (d3),2,38,0,0.26645872,0.982799768447876,0
depression,Depression (d3),2,40,1,0.011198309,0.982799768447876,0
depression,Depression (d3),2,46,0,0.54868203,0.982799768447876,0
depression,Depression (d3),2,47,0,0.011701079,0.982799768447876,0
depression,Depression (d3),2,48,1,0.98950243,0.982799768447876,1
depression,Depression (d3),2,49,0,0.020565297,0.982799768447876,0
depression,Depression (d3),2,50,0,0.17713629,0.982799768447876,0
depression,Depression (d3),2,51,1,0.99059254,0.982799768447876,1
depression,Depression (d3),2,52,0,0.9483178,0.982799768447876,0
depression,Depression (d3),2,55,1,0.9433787,0.982799768447876,0
depression,Depression (d3),2,56,1,0.98643064,0.982799768447876,1
depression,Depression (d3),2,61,1,0.98916197,0.982799768447876,1
depression,Depression (d3),2,63,0,0.010921895,0.982799768447876,0
depression,Depression (d3),2,65,1,0.10726206,0.982799768447876,0
depression,Depression (d3),2,68,1,0.119923614,0.982799768447876,0
depression,Depression (d3),2,72,0,0.016837431,0.982799768447876,0
