disorder_key,disorder,fold,dedup_removed,n_train,n_val,n_test,tau_val,f1,auc,accuracy,precision,recall,TP,FP,FN,TN
anger,Anger/IED (d1),1,7,177,45,75,0.9841,0.8784,0.9879,0.88,0.9035,0.88,29,0,9,37
anger,Anger/IED (d1),2,7,178,45,74,0.1101,0.9187,0.9533,0.9189,0.9239,0.9189,36,5,1,32
anger,Anger/IED (d1),3,7,178,45,74,0.5879,0.9189,0.9774,0.9189,0.9189,0.9189,34,3,3,34
anger,Anger/IED (d1),4,7,178,45,74,0.9876,0.9594,0.9934,0.9595,0.9625,0.9595,34,0,3,37
anxiety,Anxiety (d2),1,40,157,40,66,0.3738,0.6553,0.753,0.6667,0.6921,0.6667,28,17,5,16
anxiety,Anxiety (d2),2,40,157,40,66,0.8393,0.7861,0.8705,0.7879,0.7977,0.7879,23,4,10,29
anxiety,Anxiety (d2),3,40,157,40,66,0.7195,0.8302,0.9265,0.8333,0.8601,0.8333,23,1,10,32
anxiety,Anxiety (d2),4,40,158,40,65,0.8014,0.7171,0.8466,0.7231,0.7476,0.7231,19,4,14,28
depression,Depression (d3),1,9,242,61,101,0.967,0.8507,0.9404,0.8515,0.8582,0.8515,39,4,11,47
depression,Depression (d3),2,9,242,61,101,0.9828,0.7473,0.8894,0.7525,0.7775,0.7525,31,5,20,45
depression,Depression (d3),3,9,242,61,101,0.0914,0.7054,0.8573,0.7228,0.7869,0.7228,49,26,2,24
depression,Depression (d3),4,9,242,61,101,0.6736,0.8614,0.9353,0.8614,0.8614,0.8614,44,7,7,43
npd,NPD (d4),1,4,184,47,78,0.9847,0.9226,0.9947,0.9231,0.9333,0.9231,33,0,6,39
npd,NPD (d4),2,4,185,47,77,0.469,0.987,1.0,0.987,0.9873,0.987,38,0,1,38
npd,NPD (d4),3,4,185,47,77,0.6203,0.974,0.9899,0.974,0.974,0.974,38,1,1,37
npd,NPD (d4),4,4,185,47,77,0.991,0.987,0.9993,0.987,0.9873,0.987,38,0,1,38
panic,Panic (d5),1,1,132,33,56,0.3789,0.8555,0.9834,0.8571,0.8743,0.8571,27,7,1,21
panic,Panic (d5),2,1,132,34,55,0.8651,0.8364,0.9643,0.8364,0.8369,0.8364,23,4,5,23
panic,Panic (d5),3,1,132,34,55,0.75,0.8178,0.9352,0.8182,0.8196,0.8182,24,6,4,21
panic,Panic (d5),4,1,132,34,55,0.9598,0.927,0.9881,0.9273,0.9367,0.9273,24,0,4,27
