loss,learning_rate,epoch,step,disorder,fold,eval_loss,eval_tau_val,eval_f1,eval_auc,eval_accuracy,eval_precision,eval_recall,eval_TP,eval_FP,eval_FN,eval_TN,eval_pred_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.1175,8.333333333333334e-06,0.22,10,Anger/IED (d1),1,,,,,,,,,,,,,,,
1.17,1.6666666666666667e-05,0.44,20,Anger/IED (d1),1,,,,,,,,,,,,,,,
1.1115,1.923076923076923e-05,0.67,30,Anger/IED (d1),1,,,,,,,,,,,,,,,
1.1488,1.794871794871795e-05,0.89,40,Anger/IED (d1),1,,,,,,,,,,,,,,,
,,1.0,45,Anger/IED (d1),1,0.9690174460411072,0.5,0.479,1.0,0.5778,0.7688,0.5778,3.0,0.0,19.0,23.0,0.0,3.332,13.505,3.601
1.0734,1.6666666666666667e-05,1.11,50,Anger/IED (d1),1,,,,,,,,,,,,,,,
0.8428,1.5384615384615387e-05,1.33,60,Anger/IED (d1),1,,,,,,,,,,,,,,,
0.6208,1.4102564102564105e-05,1.56,70,Anger/IED (d1),1,,,,,,,,,,,,,,,
0.5368,1.2820512820512823e-05,1.78,80,Anger/IED (d1),1,,,,,,,,,,,,,,,
0.371,1.1538461538461538e-05,2.0,90,Anger/IED (d1),1,,,,,,,,,,,,,,,
,,2.0,90,Anger/IED (d1),1,0.21380995213985443,0.5,1.0,1.0,1.0,1.0,1.0,22.0,0.0,0.0,23.0,0.0,3.4509,13.04,3.477
0.4576,1.0256410256410256e-05,2.22,100,Anger/IED (d1),1,,,,,,,,,,,,,,,
0.1634,8.974358974358976e-06,2.44,110,Anger/IED (d1),1,,,,,,,,,,,,,,,
0.1952,7.692307692307694e-06,2.67,120,Anger/IED (d1),1,,,,,,,,,,,,,,,
0.1799,6.410256410256412e-06,2.89,130,Anger/IED (d1),1,,,,,,,,,,,,,,,
,,3.0,135,Anger/IED (d1),1,0.06214509904384613,0.5,1.0,1.0,1.0,1.0,1.0,22.0,0.0,0.0,23.0,0.0,6.3096,7.132,1.902
0.3743,5.128205128205128e-06,3.11,140,Anger/IED (d1),1,,,,,,,,,,,,,,,
